,date,TO,R,hosp,rad,conf,conf_j1,dc_tot
80,2021-01-31,0.622380387504943,1.01903925489276,27573.0,224375.0,1331576.0,19235.0,75008.0
81,2021-02-01,0.636219849742981,1.01331628943768,27874.0,225288.0,1335923.0,4347.0,75734.0
82,2021-02-02,0.64650059311981,1.0078105455042,28029.0,226865.0,1359260.0,23337.0,76409.0
83,2021-02-03,0.645907473309609,1.00186498968403,27953.0,228441.0,1385622.0,26362.0,77037.0
84,2021-02-04,0.640569395017794,0.994687201199751,27766.0,229944.0,1409070.0,23448.0,77665.0
85,2021-02-05,0.639580862000791,0.985472616850236,27572.0,231518.0,1431209.0,22139.0,78577.0
86,2021-02-06,0.63562672993278,0.973828915885925,27327.0,232662.0,1451795.0,20586.0,78768.0
87,2021-02-07,0.644918940292606,0.959888392213349,27652.0,232946.0,1471510.0,19715.0,78939.0
88,2021-02-08,0.662910241202056,0.944385126159885,27995.0,233962.0,1475827.0,4317.0,79397.0
89,2021-02-09,0.658758402530645,0.928630719078811,27634.0,235686.0,1494697.0,18870.0,80121.0
90,2021-02-10,0.654211150652432,0.914379293867864,27417.0,237082.0,1520084.0,25387.0,80417.0
91,2021-02-11,0.657769869513642,0.90343290790619,26963.0,238722.0,1541147.0,21063.0,80777.0
92,2021-02-12,0.652036378015026,0.897447369935354,26424.0,240259.0,1561848.0,20701.0,81422.0
93,2021-02-13,0.651245551601424,0.897515971902917,26196.0,241323.0,1583079.0,21231.0,81621.0
94,2021-02-14,0.652234084618426,0.904061093004288,26401.0,241597.0,1599625.0,16546.0,81788.0
95,2021-02-15,0.666468960063266,0.916830362381927,26478.0,242497.0,1604001.0,4376.0,82200.0
96,2021-02-16,0.659944642151048,0.934874518796354,26195.0,244207.0,1623591.0,19590.0,82786.0
97,2021-02-17,0.660340055357849,0.956606241502162,25929.0,245706.0,1648609.0,25018.0,83096.0
98,2021-02-18,0.669039145907473,0.980248531581582,25717.0,247096.0,1671110.0,22501.0,83367.0
99,2021-02-19,0.668248319493871,1.00402325522901,25506.0,248457.0,1695226.0,24116.0,83938.0
100,2021-02-20,0.666073546856465,1.02622935214319,25269.0,249520.0,1717597.0,22371.0,84121.0
101,2021-02-21,0.670620798734678,1.0453452235769,25464.0,249727.0,1739643.0,22046.0,84280.0
